outcome_cleaner,outcome_category,significant,parameter_clean,author,year,doi,country,study_design,number_of_patients,extracorporeal,renal_function,patient_characteristics1,betalactam_studied
APACHE,Disease severity score,no,NA,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
creatinine clearance,Physiological parameters,yes,CL,Tsai,2016,https://doi.org/10.1128/aac.01657-16,Australia,prospective PK study,9,no,normal,sepsis,piperacillin
serum albumin,Biomarkers,no,NA,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
serum bilirubin,Biomarkers,no,NA,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
serum creatinine,Biomarkers,no,NA,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
SOFA,Disease severity score,no,NA,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
weight,Patient characteristics,no,NA,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
weight,Patient characteristics,no,NA,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
diuresis,Physiological parameters,yes,CL,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
weight,Patient characteristics,yes,V,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
age,Patient characteristics,no,NA,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
APACHE,Disease severity score,no,NA,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
serum albumin,Biomarkers,no,NA,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
SOFA,Disease severity score,no,NA,Ulldemolins,2015,https://dx.doi.org/10.1128/AAC.00712-15,Spain,prospective PK study,30,RRT,impaired,septic shock,meropenem
CRRT parameters,Extracorporeal parameters,yes,CL,Ulldemolins,2016,https://dx.doi.org/10.1093/jac/dkv503,Spain,prospective PK study,19,RRT,impaired,MODS,piperacillin
weight,Patient characteristics,yes,CL,Ulldemolins,2016,https://dx.doi.org/10.1093/jac/dkv503,Spain,prospective PK study,19,RRT,impaired,MODS,piperacillin
APACHE,Disease severity score,no,NA,Ulldemolins,2016,https://dx.doi.org/10.1093/jac/dkv503,Spain,prospective PK study,19,RRT,impaired,MODS,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Ulldemolins,2016,https://dx.doi.org/10.1093/jac/dkv503,Spain,prospective PK study,19,RRT,impaired,MODS,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Ulldemolins,2016,https://dx.doi.org/10.1093/jac/dkv503,Spain,prospective PK study,19,RRT,impaired,MODS,piperacillin
diuresis,Physiological parameters,no,NA,Ulldemolins,2016,https://dx.doi.org/10.1093/jac/dkv503,Spain,prospective PK study,19,RRT,impaired,MODS,piperacillin
serum albumin,Biomarkers,no,NA,Ulldemolins,2016,https://dx.doi.org/10.1093/jac/dkv503,Spain,prospective PK study,19,RRT,impaired,MODS,piperacillin
SOFA,Disease severity score,no,NA,Ulldemolins,2016,https://dx.doi.org/10.1093/jac/dkv503,Spain,prospective PK study,19,RRT,impaired,MODS,piperacillin
serum albumin,Biomarkers,yes,fu,Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
weight,Patient characteristics,no,"V, CL",Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
age,Patient characteristics,no,NA,Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
APACHE,Disease severity score,no,NA,Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
CRRT parameters,Extracorporeal parameters,no,NA,Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
CRRT parameters,Extracorporeal parameters,no,NA,Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
CRRT parameters,Extracorporeal parameters,no,NA,Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
diuresis,Physiological parameters,no,NA,Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
sex,Patient characteristics,no,NA,Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
SOFA,Disease severity score,no,NA,Ulldemolins,2021,https://dx.doi.org/10.1007/s00228-021-03100-5,Spain,prospective PK study,8,RRT,impaired,sepsis,ceftriaxone
BMI,Patient characteristics,no,NA,Vossen,2015,https://dx.doi.org/10.1128/AAC.01801-15,Austria,prospective PK study,14,RRT,impaired,CRRT,doripenem
sex,Patient characteristics,no,NA,Vossen,2015,https://dx.doi.org/10.1128/AAC.01801-15,Austria,prospective PK study,14,RRT,impaired,CRRT,doripenem
weight,Patient characteristics,no,NA,Vossen,2015,https://dx.doi.org/10.1128/AAC.01801-15,Austria,prospective PK study,14,RRT,impaired,CRRT,doripenem
serum albumin,Biomarkers,yes,Bmax,Wallenburg,2021,https://dx.doi.org/10.1093/jac/dkab314,Netherlands,prospective PK study,33,RRT,impaired,general ICU,flucloxacillin
GFR,Physiological parameters,yes,CL,Wallenburg,2021,https://dx.doi.org/10.1093/jac/dkab314,Netherlands,prospective PK study,33,RRT,impaired,general ICU,flucloxacillin
BUN,Biomarkers,no,NA,Wallenburg,2021,https://dx.doi.org/10.1093/jac/dkab314,Netherlands,prospective PK study,33,RRT,impaired,general ICU,flucloxacillin
creatinine clearance,Physiological parameters,yes,CL,Tsai,2016,https://dx.doi.org/10.1016/j.ijantimicag.2016.08.015,Australia,prospective PK study,11,no,normal,sepsis,meropenem
CRRT,Organ dysfunction/support,no,NA,Wallenburg,2021,https://dx.doi.org/10.1093/jac/dkab314,Netherlands,prospective PK study,33,RRT,impaired,general ICU,flucloxacillin
serum bilirubin,Biomarkers,no,NA,Wallenburg,2021,https://dx.doi.org/10.1093/jac/dkab314,Netherlands,prospective PK study,33,RRT,impaired,general ICU,flucloxacillin
creatinine clearance,Physiological parameters,yes,CL,Udy,2015,https://dx.doi.org/10.1186/s13054-015-0750-y,Australia,prospective PK study,48,no,normal,sepsis,piperacillin
GFR,Physiological parameters,no,NA,Wallenburg,2022,https://dx.doi.org/10.1007/s40262-022-01113-6,Netherlands,prospective PK study,39,no,normal,general ICU,piperacillin
CRRT parameters,Extracorporeal parameters,yes,CL,Westermann,2021,https://dx.doi.org/10.1111/bcp.14846,Germany,prospective PK study,25,RRT,impaired,CRRT,meropenem
diuresis,Physiological parameters,yes,CL,Westermann,2021,https://dx.doi.org/10.1111/bcp.14846,Germany,prospective PK study,25,RRT,impaired,CRRT,meropenem
serum creatinine,Biomarkers,yes,CL,Westermann,2021,https://dx.doi.org/10.1111/bcp.14846,Germany,prospective PK study,25,RRT,impaired,CRRT,meropenem
creatinine clearance,Physiological parameters,yes,CL,Wallenburg,2022,https://dx.doi.org/10.1007/s40262-022-01113-6,Netherlands,prospective PK study,39,no,normal,general ICU,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Westermann,2021,https://dx.doi.org/10.1111/bcp.14846,Germany,prospective PK study,25,RRT,impaired,CRRT,meropenem
creatinine clearance,Physiological parameters,yes,CL,Young,1997,https://dx.doi.org/10.1093/jac/40.2.269,China,prospective PK study,10,no,normal,pneumonia,ceftazidime
APACHE,Disease severity score,no,NA,Young,1997,https://dx.doi.org/10.1093/jac/40.2.269,China,prospective PK study,10,no,normal,pneumonia,ceftazidime
serum albumin,Biomarkers,no,NA,Young,1997,https://dx.doi.org/10.1093/jac/40.2.269,China,prospective PK study,10,no,normal,pneumonia,ceftazidime
serum bilirubin,Biomarkers,no,NA,Young,1997,https://dx.doi.org/10.1093/jac/40.2.269,China,prospective PK study,10,no,normal,pneumonia,ceftazidime
SOFA,Disease severity score,no,NA,Young,1997,https://dx.doi.org/10.1093/jac/40.2.269,China,prospective PK study,10,no,normal,pneumonia,ceftazidime
GFR,Physiological parameters,yes,CL,Zahr,2022,https://dx.doi.org/10.3390/pharmaceutics14122786,France,retrospective PK study,55,no,unclear,VAP,cefiderocol
weight,Patient characteristics,yes,CL,Zahr,2022,https://dx.doi.org/10.3390/pharmaceutics14122786,France,retrospective PK study,55,no,unclear,VAP,cefiderocol
age,Patient characteristics,no,NA,Zahr,2022,https://dx.doi.org/10.3390/pharmaceutics14122786,France,retrospective PK study,55,no,unclear,VAP,cefiderocol
serum albumin,Biomarkers,yes,NA,Zahr,2022,https://dx.doi.org/10.3390/pharmaceutics14122786,France,retrospective PK study,55,no,unclear,VAP,cefiderocol
sex,Patient characteristics,no,NA,Zahr,2022,https://dx.doi.org/10.3390/pharmaceutics14122786,France,retrospective PK study,55,no,unclear,VAP,cefiderocol
weight,Patient characteristics,yes,NA,Zahr,2022,https://dx.doi.org/10.3390/pharmaceutics14122786,France,retrospective PK study,55,no,unclear,VAP,cefiderocol
uric acid,Biomarkers,yes,"CL, V",Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
age,Patient characteristics,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
ALT,Biomarkers,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
aminotransferase,Biomarkers,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
APACHE,Disease severity score,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
BUN,Biomarkers,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
creatinine clearance,Physiological parameters,yes,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
haemoglobin,Biomarkers,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
platelets,Biomarkers,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
red cell count,Biomarkers,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
serum albumin,Biomarkers,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
sex,Patient characteristics,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
weight,Patient characteristics,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
white cell count,Biomarkers,no,NA,Zhao,2022,https://dx.doi.org/10.1007/s40121-021-00551-2,China,prospective PK study,64,no,unclear,pneumonia,meropenem
